alg time sample
insertion 40826750 18442
merge 49799875 18442
insertion 368750 647
merge 150292 647
insertion 30410209 16552
merge 80565750 16552
insertion 39450792 23344
merge 39292791 23344
insertion 58721625 27958
merge 121945542 27958
insertion 39705000 23500
merge 52890833 23500
insertion 9463500 11202
merge 9426041 11202
insertion 3241416 6576
merge 6543583 6576
insertion 25489458 18459
merge 17320958 18459
insertion 29133792 20263
merge 23579209 20263
insertion 3034000 6469
merge 4206625 6469
insertion 17016791 15498
merge 15058959 15498
insertion 55763083 28123
merge 51334375 28123
insertion 9030667 11241
merge 15060666 11241
insertion 40341209 23793
merge 33560875 23793
insertion 287542 1960
merge 388917 1960
insertion 20864000 16928
merge 17461750 16928
insertion 20350416 16922
merge 18339666 16922
insertion 33965375 21807
merge 27846084 21807
insertion 8378833 10844
merge 5430750 10844
insertion 62863958 29764
merge 48867542 29764
insertion 64999417 30325
merge 69012209 30325
insertion 1122750 3939
merge 936541 3939
insertion 38031334 23164
merge 30985958 23164
insertion 17006209 15482
merge 14952875 15482
insertion 26722291 19396
merge 23076542 19396
insertion 436542 2441
merge 464167 2441
insertion 8377833 10865
merge 6195000 10865
insertion 1115083 3898
merge 1188125 3898
insertion 41750375 24072
merge 32239250 24072
insertion 28787042 20087
merge 23558750 20087
insertion 24235167 18551
merge 18021083 18551
insertion 961500 3432
merge 962167 3432
insertion 35576334 22380
merge 30849750 22380
insertion 6194541 9347
merge 7757875 9347
insertion 31270500 20969
merge 31759500 20969
insertion 34042 615
merge 66125 615
insertion 561458 2771
merge 566917 2771
insertion 73070667 31927
merge 68451708 31927
insertion 26760542 19347
merge 23045250 19347
insertion 3830833 7321
merge 6919917 7321
insertion 9391375 11428
merge 9544958 11428
insertion 11973708 13033
merge 8628750 13033
insertion 52915667 27369
merge 42154750 27369
insertion 16441750 15242
merge 14656833 15242
insertion 3568583 7060
merge 6286750 7060
insertion 10312625 12024
merge 10549167 12024
insertion 45265334 25180
merge 34190000 25180
insertion 56047458 28043
merge 43076417 28043
insertion 23515500 18189
merge 22993750 18189
insertion 48800125 26056
merge 39282917 26056
insertion 2950416 6408
merge 5495834 6408
insertion 54377125 27535
merge 43950458 27535
insertion 11998917 12962
merge 18366750 12962
insertion 37926125 23025
merge 32581667 23025
insertion 22793042 17839
merge 19796667 17839
insertion 15264667 14672
merge 13712708 14672
insertion 37589292 22894
merge 32033917 22894
insertion 244750 1711
merge 446958 1711
insertion 16650625 14954
merge 15085041 14954
insertion 9791500 11791
merge 9352209 11791
insertion 33057500 21314
merge 26044792 21314
insertion 2661875 6112
merge 5368209 6112
insertion 11352417 12642
merge 11268917 12642
insertion 1683500 4806
merge 1371458 4806
insertion 9443166 11497
merge 9597917 11497
insertion 59506500 28658
merge 44950625 28658
insertion 583 20
merge 1000 20
insertion 891458 3475
merge 874875 3475
insertion 371417 2254
merge 545208 2254
insertion 7833 278
merge 21917 278
insertion 131500 1309
merge 224500 1309
insertion 33020583 21578
merge 23828625 21578
insertion 15103750 14558
merge 14208333 14558
insertion 5775166 8864
merge 6551958 8864
insertion 31521417 20998
merge 25704583 20998
insertion 43897583 24705
merge 34444042 24705
insertion 40243417 23586
merge 31387625 23586
insertion 1715708 4907
merge 3515458 4907
insertion 3202875 6712
merge 6136000 6712
insertion 5885583 9017
merge 5993542 9017
insertion 30429708 20697
merge 26394541 20697
insertion 236584 1830
merge 359459 1830
insertion 39642791 23482
merge 30910250 23482
insertion 14129917 14201
merge 13348625 14201
insertion 19269417 16398
merge 17511292 16398
insertion 33794541 21730
merge 23024083 21730
insertion 74385625 32084
merge 56479959 32084
insertion 1767709 4911
merge 3813584 4911
insertion 14951333 14422
merge 10815583 14422
insertion 1689584 4850
merge 3748291 4850
insertion 14058000 13966
merge 13249166 13966
insertion 10923250 12202
merge 12646000 12202
insertion 2727334 6172
merge 2371792 6172
insertion 43026083 24313
merge 34087375 24313
insertion 33020584 21413
merge 27223916 21413
insertion 17652583 15706
merge 15362584 15706
insertion 59250 867
merge 111333 867
insertion 30855125 20628
merge 42080917 20628
insertion 22900542 17867
merge 19298084 17867
